Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Deewaar,8.0,1975,Yash Chopra,Action,"Vijay struggles dockworker eventually becomes leading figure underworld , younger brother Ravi educated , upright policeman . This divide causes problems th ... Read","Action, Crime, Drama"
Saptha Sagaradaache Ello - Side A,8.2,2023,Hemanth M. Rao,Drama,"Manu Priya hail middle-class background fall love . When circumstances land Manu jail , relationship Priya put jeopardy .","Drama, Romance"
Company,8.0,2002,Ram Gopal Varma,Action,"A small-time gangster named Chandu teams Malik , low-level enforcer criminal syndicate . Together eliminate enemies , becoming feared gangsters Mumbai ... Read","Action, Crime, Drama"
Kshanam,8.2,2016,Ravikanth Perepu,Mystery,"Rishi , non-resident Indian , returns India help ex-lover find kidnapped daughter .","Mystery, Thriller"
Nayattu,8.1,2021,Martin Prakkat,Crime,"Three police officers run life , escaping outbreak due unlawful arrest torture civilian . It brings shades arrogant yet much ... Read","Crime, Thriller"
Evaru,8.1,2019,Venkat Ramji,Crime,Sub-inspector Vikram Vasudev entrusted task investigating murder high ranking officer killed alleged rape victim . When delves deeper case h ... Read,"Crime, Drama, Mystery"
Garuda Gamana Vrishabha Vahana,8.3,2021,Raj B. Shetty,Crime,"Set backdrop coastal cultural city modern-day Mangaluru , Hari soulmate Shiva rise together great heights face bitter enemies resulting ... Read","Crime, Drama, Thriller"
Charlie,8.0,2015,Martin Prakkat,Adventure,"A young , nonconforming woman named Tessa gets entangled cat-and-mouse chase by-lanes Kerala , hunting mysterious artist previously lived apartment .","Adventure, Drama, Romance"
Ugly,7.9,2013,Anurag Kashyap,Crime,The case missing girl takes us journey human greed brushes upon egos repressed emotions characters .,"Crime, Drama, Mystery"
Pranchiyettan and the Saint,8.3,2010,Ranjith,Comedy,Pranchiyettan successful businessman often talks imaginary St. Francis Assisi . The story deals goes changing embarrassing image making name ... Read,"Comedy, Drama"
Ayyappanum Koshiyum,8.0,2020,Sachy,Action,"The story revolves around clash Ayyappan , senior police officer serves Attappadi Police Station Havildar Koshi , comes village motive .","Action, Drama, Thriller"
Deiva Thirumagal,8.2,2011,A.L. Vijay,Drama,"A man disabilities fights custody 7-year-old daughter , process teaches opponent lawyer value love family .",Drama
22 Shey Shraban,8.1,2011,Srijit Mukherji,Action,An ex-cop hired track serial killer carries killings according Bengali poetry .,"Action, Crime, Drama"
My Name Is Khan,7.9,2010,Karan Johar,Adventure,An Indian Muslim man Asperger 's syndrome takes challenge speak President United States seriously embarks cross-country journey .,"Adventure, Drama, Romance"
Thondi Muthalum Driksakshiyum,8.1,2017,Dileesh Pothan,Crime,"Prasad Sreeja enter wedlock move new place continue rest lives . Unfortunate events begin take place Prasad , small-time thief , robs Sreeja 's gold chain ... Read","Crime, Drama, Thriller"
Gully Boy,7.9,2019,Zoya Akhtar,Drama,A coming-of-age story based lives street rappers Mumbai .,"Drama, Music, Romance"
Ship of Theseus,8.0,2012,Anand Gandhi,Drama,"The film explores questions identity , justice , beauty , meaning death experimental photographer , ailing monk young stockbroker .",Drama
Take Off,8.1,2017,Mahesh Narayanan,Action,"In 2014 , group Malayali nurses captured terrorists took city Tikrit Iraq . This movie recounts ordeal suffered nurses following capture .","Action, Drama, Thriller"
Major,8.1,2022,Sashi Kiran Tikka,Action,"Based life Major Sandeep Unnikrishnan , martyred action November 2008 Mumbai attacks .","Action, Biography, Drama"
Vedam,8.1,2010,Radha Krishna Jagarlamudi,Action,"Stories 5 people , educated slum dweller , aspiring rock star , old villager , prostitute ostracized Muslim man ; lead night hospital filled jeopardy .","Action, Drama"
Gargi,8.1,2022,Gautham Ramachandran,Drama,The journey young school teacher prove father 's innocence help juvenile advocate 's never even seen interiors court hall .,"Drama, Thriller"
Kirik Party,8.2,2016,Rishab Shetty,Comedy,"Kirik Party story gang mischievous students , lead protagonist Karna ( Rakshit Shetty ) , joined engineering college .","Comedy, Drama, Romance"
Por Thozhil,8.0,2023,Vignesh Raja,Action,A bright faint-hearted rookie cop overcome fears order succeed first case sees partnered reclusive senior officer catch serial killer ... Read,"Action, Crime, Thriller"
Hridayam,8.1,2022,Vineeth Sreenivasan,Drama,"The emotional journey Arun , carefree bachelor days engineering college , matures various phases life .","Drama, Musical, Romance"
Vinnaithaandi Varuvaayaa,8.1,2010,Gautham Vasudev Menon,Drama,An aspiring filmmaker goes ups downs romance falls Christian woman says wants friends .,"Drama, Romance"
Baahubali: The Beginning,8.0,2015,S.S. Rajamouli,Action,"A child Mahishmati kingdom raised tribal people one day learns royal heritage , father 's bravery battle mission overthrow incumbent ruler .","Action, Drama"
Jigarthanda Double X,8.0,2023,Karthik Subbaraj,Action,"In 1975 , filmmaker agrees collaborate film gangster wishes become famous actor .","Action, Comedy, Drama"
Salaam Bombay!,7.9,1988,Mira Nair,Crime,"Young Krishna struggles survive among drug dealers , pimps , prostitutes back alleys gutters India .","Crime, Drama"
Karnan,8.0,2021,Mari Selvaraj,Action,"Karnan , fearless village youth , must fight rights conservative people village , due torture given police officer .","Action, Drama"
Dil Bechara,8.3,2020,Mukesh Chhabra,Comedy,"The emotional journey two hopelessly-in-love youngsters ; young girl , Kizie , suffering cancer ; Manny , boy Kizie meets support group .","Comedy, Drama, Romance"
Traffic,8.1,2011,Rajesh Pillai,Action,The lives different people get intertwined girl urgent need heart transplant heart donor many miles traffic away .,"Action, Adventure, Mystery"
Hey Ram,7.9,2000,Kamal Haasan,Crime,Saketh Ram 's wife raped killed direct action day riots Calcutta . He convinced Mahatma Gandhi responsible problems happening country sets ou ... Read,"Crime, Drama, History"
Love Today,8.0,2022,Pradeep Ranganathan,Comedy,"Two young lovers , made exchange phones day happens due .","Comedy, Drama, Romance"
Pizza,7.9,2012,Karthik Subbaraj,Horror,A pizza delivery boy lands mysterious circumstance works dramatic change life .,"Horror, Thriller"
Pad Man,7.9,2018,R. Balki,Comedy,"Upon realizing extent women affected menses , man sets create sanitary pad machine provide inexpensive sanitary pads women rural India .","Comedy, Drama"
Android Kunjappan Ver 5.25,8.0,2019,Ratheesh Balakrishnan Poduval,Comedy,"Story conventional , conservative small town villager son move away home due profession . Their relationship gets endearing twist AI humanoid ent ... Read","Comedy, Drama, Sci-Fi"
Ghilli,8.1,2004,Dharani,Action,"Velu , aspiring kabaddi player , goes Madurai participate regional match , rescues Dhanalakshmi Muthupandi , powerful man keen marrying girl ... Read","Action, Drama, Romance"
Baby,7.9,2015,Neeraj Pandey,Action,"An elite counter-intelligence unit learns plot , masterminded maniacal madman . With clock ticking , 's track terrorists ' international tentacles prevent ... Read","Action, Crime, Thriller"
Hindi Medium,7.8,2017,Saket Chaudhary,Comedy,A couple Chandni Chowk aspire give daughter best education thus part accepted elite Delhi .,"Comedy, Drama"
Joseph,8.0,2018,M. Padmakumar,Crime,"The story develops life four retired policemen . It tone thriller investigation . An issue affecting life Joseph , central character , family ... Read","Crime, Drama, Thriller"
Memories,8.0,2013,Jeethu Joseph,Mystery,"Sam Alex , drunkard ex-cop , forced investigate series murders committed pattern . His search leads serial killer , something expect ... Read","Mystery, Thriller"
Malik,8.0,2021,Mahesh Narayanan,Action,"A past ridden crime , death pain recounted Freddy , juvenile criminal , assigned eliminate estranged uncle Sulaiman , aging patriarch , behind bars .","Action, Biography, Crime"
Thuppakki,8.1,2012,A.R. Murugadoss,Action,An army captain mission track destroy terrorist gang deactivate sleeper cells command .,"Action, Thriller"
The Tashkent Files,8.1,2019,Vivek Agnihotri,Drama,"Revolves around mysterious death India 's 2nd Prime Minister Shri Lal Bahadur Shastri attempts uncover actually died natural death , , alleged , assassinated .","Drama, Mystery, Thriller"
Anjaam Pathiraa,7.9,2020,Midhun Manuel Thomas,Crime,"The police trail serial killer , victims fellow officers , able catch killer solve case time ?","Crime, Mystery, Thriller"
The Music Room,7.9,1958,Satyajit Ray,Drama,"Depicts end days decadent zamindar ( landlord ) Bengal , efforts uphold family prestige even faced economic adversity .","Drama, Music"
English Vinglish,7.8,2012,Gauri Shinde,Comedy,"A quiet , sweet tempered housewife endures small slights well-educated husband daughter every day inability speak understand English .","Comedy, Drama, Family"
Arjun Reddy,7.9,2017,Sandeep Reddy Vanga,Action,"Arjun Reddy , short-tempered house surgeon , gets used drugs drinks girlfriend forced marry another person .","Action, Drama, Romance"
Johnny Gaddaar,7.9,2007,Sriram Raghavan,Crime,"Police officers recount tale missing money results lies , deceit , betrayal death .","Crime, Drama, Thriller"
Dor,7.9,2006,Nagesh Kukunoor,Drama,"Two woman -- different backgrounds , miles apart , strangers -- linked tragedy . Their new-found friendship tested one holds fate 's husband ... Read",Drama
Lakshya,7.8,2004,Farhan Akhtar,Action,"An aimless , jobless , irresponsible grown man joins army matures battlefield hero .","Action, Drama, Romance"
Pokiri,8.0,2006,Puri Jagannadh,Action,A money-minded criminal deal two rival gangs well evil cop threatening girlfriend .,"Action, Crime, Thriller"
Aavesham,7.9,2024,Jithu Madhavan,Action,Three teenagers reach Bangalore engineering degree gets involved fight seniors . They find local gangster named Ranga help take revenge .,"Action, Comedy"
Kaakha Kaakha,8.0,2003,Gautham Vasudev Menon,Action,"After police team kills brother , drug-dealing gangster vows kill entire team respective families .","Action, Crime, Drama"
Mera Naam Joker,7.9,1970,Raj Kapoor,Comedy,"Raju joker , clown . It always shall . As life story unfolds three chapters , school days circus streets , must always make pe ... Read","Comedy, Drama"
Okkadu,8.0,2003,Gunasekhar,Action,A Kabbadi player rescues young woman unwanted marriage hides home .,"Action, Drama, Romance"
Vettaiyaadu Vilaiyaadu,7.9,2006,Gautham Vasudev Menon,Action,"A Police Officer investigates series brutal rapes murders , culprits seeming cover one country .","Action, Crime, Drama"
Thulladha Manamum Thullum,8.3,1999,Ezhil,Drama,"Kutty good-hearted soul , unfortunate incidents tend portray ruffian side whenever encounters girl loves . A bizarre incident brings closer yet keeps ap ... Read","Drama, Romance"
Kaththi,8.1,2014,A.R. Murugadoss,Action,A case mistaken identity embroils escaped convict fight large corporation intent seizing village 's land .,"Action, Drama"
Gangaajal,7.8,2003,Prakash Jha,Action,"An IPS officer motivates leads dysfunctional , corrupt police force Tezpur fight corrupt politician .","Action, Crime, Drama"
Oopiri,8.0,2016,Vamshi Paidipally,Comedy,"Impressed carefree attitude , quadriplegic multi-billionaire Vikram hires convict parole caretaker . What follows string life lessons learn .","Comedy, Drama"
Mumbai Police,7.9,2013,Rosshan Andrrews,Crime,"ACP Antony one knows truth behind ACP Aaryan 's murder . Antony meets accident , losing memory unable reveal killer . He forced investigate th ... Read","Crime, Mystery, Thriller"
Manam,8.0,2014,Vikram K. Kumar,Comedy,"Through reincarnation , family members able cross generations meddle others ' lives .","Comedy, Drama, Fantasy"
Unnaipol Oruvan,8.0,2009,Chakri Toleti,Action,A retiring police officer remembers thrilling case life recorded case files .,"Action, Crime, Drama"
Leader,8.0,2010,Sekhar Kammula,Drama,"A well educated idealist , son Political leader power wants correct rigged political system favors corruption . However , soon becomes game power . How wou ... Read",Drama
Ayirathil Oruvan,8.0,2010,K. Selvaraghavan,Action,"Anitha , government official , embarks journey find Chandramouli , archaeologist , went Vietnam search existence prince Chola dynasty .","Action, Adventure"
Ab Tak Chhappan,7.8,2004,Shimit Amin,Crime,"Sadhu , encounter specialist , armed personal vendetta find kill gangsters responsible wife 's death .","Crime, Drama"
Dada,8.1,2023,Ganesh K. Babu,Drama,"A couple love , accidentally become teenage parents . Unpleasant situations make fall apart . Manikandan , left alone son , struggles single teenage father . Fate owns , b ... Read","Drama, Family, Romance"
Poove Unakkaga,8.6,1996,Vikraman,Comedy,"When man realizes Hindu woman loves love Christian man , decides sacrifice love unite families make love story success .","Comedy, Drama, Romance"
